id,painting_unique_id,featured_story_image,featured_manuscript_image,recension_id,total_manuscripts_with_this_story_id_illustrated,total_story_id_paintings,total_manuscript_paintings,manuscript_link,image_link,non_iiif_image_link,painting_number,painting_folio,painting_scan,number_of_episodes,episode_number,episode_location_on_page,episode_description,episode_keywords_objects,episode_keywords_agents,episode_keywords_activities,episode_keywords_concepts,episode_caption,episode_notes,painting_same_date_as_manuscript,painting_research_note,painting_sort_order_number,paintings_manuscript_detail_order,manuscript.manuscript,manuscript.manuscript_full_name,manuscript.link_to_digital_copy,canonical_story_id.canonical_story_id
18,16,TRUE,,,1,1,67,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_648_f058r,,https://ethiopic-manuscripts.s3.amazonaws.com/British+Library/BOr+648/BOr648_f058r.jpg,1,58r,,1,1,full,"Three men look on while the abbot pulls back the curtains from the icon of St Mary, while the fourth man lays on the ground with his tongue hanging out",head covering; icon; church; tongue; throne; veil,Mary,,,,,,,1002,28,BOr (BL) 648,"British Library, ""Orient"" Collection, Manuscript No. 648",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_648_f001r,11
19,17,FALSE,,,51,93,61,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_520_f141v,,,1,141v,,1,1,full,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",throne; manuscript; book; mitre,Mary; Ildefonsus of Toledo; author; bishop,,,,,,,3000,2,BOr (BL) 520,"British Library, ""Orient"" Collection, Manuscript No. 520",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_520_f001r,13
20,18,FALSE,,,51,93,61,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_520_f142r,,,2,142r,,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne,Mary,,,,,,,3000,3,BOr (BL) 520,"British Library, ""Orient"" Collection, Manuscript No. 520",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_520_f001r,13
21,19,FALSE,,,51,93,63,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f037v,,,1,37v,,1,1,full,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",throne; manuscript; building; arch; book; mitre; pen; reed; ink well; ink stand; ink horn; knife; pen knife,Mary; Ildefonsus of Toledo; author; bishop,,,,,,,3000,14,BOr (BL) 635,"British Library, ""Orient"" Collection, Manuscript No. 635",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,13
22,20,FALSE,,,51,93,63,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f038r,,,2,38r,,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne,Mary,,,,,,,3000,15,BOr (BL) 635,"British Library, ""Orient"" Collection, Manuscript No. 635",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,13
23,21,FALSE,,,51,93,58,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f043r,,,1,43r,,1,1,full,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",throne; manuscript; book; folio; pen; reed; mitre; building; arch,Mary; Ildefonsus of Toledo; bishop; scribe; author,,,How Däqsəyos wrote the book of the miracles of our Lady Mary and gave it to her; How our Lady received the book of her miracles from the hand of Däqsəyos and she gave it back to him and she blessed him.,,,,3000,12,BOr (BL) 639,"British Library, ""Orient"" Collection, Manuscript No. 639",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,13
24,22,FALSE,,,51,93,36,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_646_f005v,,https://ethiopic-manuscripts.s3.amazonaws.com/British+Library/BOr+646/BOr646_f005v.jpg,1,5v,,1,1,bottom,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",throne; manuscript; book; mitre; jewelry,Mary; Ildefonsus of Toledo; author; bishop,,,,,,,1100,,BOr (BL) 646,"British Library, ""Orient"" Collection, Manuscript No. 646",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_646_f001r,13
25,23,FALSE,,,51,93,52,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f020v,,,1,20v,,1,1,full,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",throne; manuscript; folio; pen; reed; ink well; ink stand; ink horn; knife; handkerchief,Ildefonsus of Toledo; bishop; scribe; author,,,,,,,3000,3,BOr (BL) 647,"British Library, ""Orient"" Collection, Manuscript No. 647",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f001r,13
26,24,FALSE,,,51,93,52,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f021r,,,2,21r,,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne; handkerchief,Mary; Ildefonsus of Toledo; bishop,,,,,,,3000,4,BOr (BL) 647,"British Library, ""Orient"" Collection, Manuscript No. 647",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f001r,13
27,25,FALSE,,,51,93,52,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f021v,,,3,21v,,1,1,full,Hildephonsus of Toledo's successor falling and being smitten by an angel having touched Mary's gifts to Hildephonsus without permission,throne; spear,angel; bishop,,,,,,,3000,5,BOr (BL) 647,"British Library, ""Orient"" Collection, Manuscript No. 647",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f001r,13
28,26,FALSE,,,51,93,58,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f005r,,,1,5r,,1,1,right,Hildephonsus of Toledo composes the book of the Taʾammǝra Māryā,throne; manuscript; book; folio; pen; reed; ink well; ink horn; chair; flywhisk,Ildefonsus of Toledo; bishop; scribe; author; servant,,,,,,,3000,1,BOr (BL) 653,"British Library, ""Orient"" Collection, Manuscript No. 653",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f001r,13
29,27,FALSE,,,51,93,58,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f006r,,,3,6r,,2,1,bottom- left,"Hildephonsus of Toledo sits upon the throne, wears the garment given to him by Mary, and reads the Miracles of Mary",throne; mitre; handkerchief,Ildefonsus of Toledo; bishop,,,,,,,3000,3,BOr (BL) 653,"British Library, ""Orient"" Collection, Manuscript No. 653",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f001r,13
30,27,FALSE,,,51,93,58,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f006r,,,3,6r,,2,2,top-left/ right,Hildephonsus of Toledo's successor falling and being smitten by an angel having touched Mary's gifts to Hildephonsus without permission,throne; sword; spear; church,Mary; angel; bishop,,,,,,,3000,3,BOr (BL) 653,"British Library, ""Orient"" Collection, Manuscript No. 653",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f001r,13
31,28,FALSE,,,51,93,53,https://www.vhmml.org/readingRoom/view/500205,,https://ethiopic-manuscripts.s3.amazonaws.com/EMDA/EMDA+00162/EMDA+00162_034b.jpg,1,33r,34b,1,1,full,Hildephonsus of Toledo composes the book of the Taʾammǝra Māryā,throne; manuscript; book; folio; pen; reed; ink well; ink stand; ink horn; knife; pen knife,Ildefonsus of Toledo; bishop; scribe; author,,,,,,,1100,9,EMDA (HMML) 162,"Ethiopian Manuscript Digital Archive, HMML Project ID EMDA, Manuscript No. 162",https://w3id.org/vhmml/readingRoom/view/500205,13
32,29,FALSE,,,51,93,53,https://www.vhmml.org/readingRoom/view/500205,,https://ethiopic-manuscripts.s3.amazonaws.com/EMDA/EMDA+00162/EMDA+00162_035a.jpg,2,33v,35a,1,1,full,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",throne; manuscript; book; jewelry,Mary; Ildefonsus of Toledo; bishop,,,,,,,1100,10,EMDA (HMML) 162,"Ethiopian Manuscript Digital Archive, HMML Project ID EMDA, Manuscript No. 162",https://w3id.org/vhmml/readingRoom/view/500205,13
33,30,FALSE,,,51,93,53,https://www.vhmml.org/readingRoom/view/500205,,https://ethiopic-manuscripts.s3.amazonaws.com/EMDA/EMDA+00162/EMDA+00162_035b.jpg,3,34r,35b,1,1,full,Hildephonsus of Toledo's successor falling and being smitten by an angel having touched Mary's gifts to Hildephonsus without permission,throne; sword; church; handkerchief; heavenly clouds,angel; bishop,,,,,,,1100,11,EMDA (HMML) 162,"Ethiopian Manuscript Digital Archive, HMML Project ID EMDA, Manuscript No. 162",https://w3id.org/vhmml/readingRoom/view/500205,13
34,31,FALSE,,,51,93,56,https://www.vhmml.org/readingRoom/view/533827,,https://ethiopic-manuscripts.s3.amazonaws.com/EMDA/EMDA+00323/EMDA+00323_022b.jpg,1,,22b,1,1,full,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",throne; manuscript; book,Mary; Ildefonsus of Toledo; author; bishop,,,,,,,1100,2,EMDA (HMML) 323,"Ethiopian Manuscript Digital Archive, HMML Project ID EMDA, Manuscript No. 323",https://w3id.org/vhmml/readingRoom/view/533827,13
35,32,FALSE,,,51,93,56,https://www.vhmml.org/readingRoom/view/533827,,https://ethiopic-manuscripts.s3.amazonaws.com/EMDA/EMDA+00323/EMDA+00323_023a.jpg,2,,23a,1,1,full,Hildephonsus of Toledo's successor falling and being smitten by an angel having touched Mary's gifts to Hildephonsus without permission,throne; spear; handkerchief,angel; Mary; bishop,,,,,,,1100,3,EMDA (HMML) 323,"Ethiopian Manuscript Digital Archive, HMML Project ID EMDA, Manuscript No. 323",https://w3id.org/vhmml/readingRoom/view/533827,13
36,33,FALSE,,,51,93,38,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+1044/EMIP1044_13a.jpg,2,,13a,1,1,full,Hildephonsus of Toledo's successor falling and being smitten by an angel having touched Mary's gifts to Hildephonsus without permission,throne; sword; handkerchief; jewelry; heavenly clouds,angel; bishop,,,,,,,1100,3,EMIP (EMIP) 1044,"Ethiopian Manuscript Imaging Project, HMML Project ID EMIP, Manuscript No. 1044",,13
37,34,FALSE,,,51,93,3,https://www.vhmml.org/readingRoom/view/204876,,https://ethiopic-manuscripts.s3.amazonaws.com/EMML+Mss/EMML+3051/EMML_3051-008.jpg,1,2v,8,1,1,full,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",throne; building; arch; manuscript; book; mitre,Mary; Ildefonsus of Toledo; angel; author; bishop; patrons,,,How Däqsəyos accepted to write the miracles; How our Lady gave him a miracle to write,Two patrons lay prostrate at St Mary's feet.,,,2000,3,EMML (HMML) 3051,"Ethiopian Manuscript Microfilm Library, HMML Project ID EMML, Manuscript No. 3051",https://www.vhmml.org/readingRoom/view/204876,13
38,35,FALSE,,,51,93,5,https://w3id.org/vhmml/readingRoom/view/205125,,https://ethiopic-manuscripts.s3.amazonaws.com/EMML+Mss/EMML+3309/EMML_3309_011.jpg,1,6v,11,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne; manuscript; book; ink well; ink stand; ink horn; pen; reed,Mary; Ildefonsus of Toledo; angel; author; bishop,,,How our Lady gave a throne and a garment to Däqsəyos,,,,2000,2,EMML (HMML) 3309,"Ethiopian Manuscript Microfilm Library, HMML Project ID EMML, Manuscript No. 3309",https://w3id.org/vhmml/readingRoom/view/205125,13
39,36,FALSE,,,51,93,52,https://dpul.princeton.edu/msstreasures/catalog/44558h891,"https://iiif-cloud.princeton.edu/iiif/2/40%2Fd1%2Fcb%2F40d1cbb7e7784c258b43b4be620b184a%2Fintermediate_file/full/400,/0/default.jpg?t=1651501318171",,2,12v,,1,1,full,Hildephonsus of Toledo's successor falling and being smitten by an angel having touched Mary's gifts to Hildephonsus without permission,throne; spear; church; heavenly clouds; tree,angel; bishop,,,How St Raguel smote the Egyptian bishop when he sat upon the throne of Däqsəyos,,,,1100,3,PEM (Princeton) 57,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 57",https://dpul.princeton.edu/msstreasures/catalog/44558h891,13
40,37,FALSE,,,51,93,45,https://repository.library.brown.edu/studio/item/bdr:957504/,https://repository.library.brown.edu/iiif/image/bdr:957674/full/full/0/default.jpg,,1,16v,35,1,1,bottom,Hildephonsus of Toledo composes the book of the Taʾammǝra Māryā,manuscript; book; folio; pen; reed; ink well; ink stand,Ildefonsus of Toledo; bishop; scribe; author,,,How Däqsəyos wrote her miracles,,,,1000,2,DL-E (Brown) 14,"Brown University, Ethiopic Collection, Manuscript No. 14",https://repository.library.brown.edu/studio/item/bdr:957504/,13
41,38,FALSE,,,51,93,45,https://repository.library.brown.edu/studio/item/bdr:957504/,https://repository.library.brown.edu/iiif/image/bdr:957673/full/full/0/default.jpg,,2,17r,36,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne; jewelry; handkerchief,Mary; Ildefonsus of Toledo; bishop,,,How our Lady gave a throne and a garment to Däqsəyos,,,,1100,3,DL-E (Brown) 14,"Brown University, Ethiopic Collection, Manuscript No. 14",https://repository.library.brown.edu/studio/item/bdr:957504/,13
42,39,FALSE,,,51,93,7,https://collections.library.yale.edu/catalog/33074772?child_oid=33074778,,https://ethiopic-manuscripts.s3.amazonaws.com/Yale+University+Library/B-E+25/Yale25_6.jpg,1,ii v,6,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne; manuscript; book; pen; reed; ink well; ink stand; ink horn; heavenly clouds,Mary; Ildefonsus of Toledo; bishop; angel,,,,,,,6,1,B-E (Yale) 25,"Yale University Library, Beinecke Rare Book & Manuscript Library Ethiopic Collection, Manuscript No. 25",https://collections.library.yale.edu/catalog/33074772?child_oid=33074778,13
43,40,FALSE,,,51,93,7,https://collections.library.yale.edu/catalog/33074772?child_oid=33074778,,https://ethiopic-manuscripts.s3.amazonaws.com/Yale+University+Library/B-E+25/Yale25_7.jpg,2,iii r,7,1,1,full,Hildephonsus of Toledo's successor falling and being smitten by an angel having touched Mary's gifts to Hildephonsus without permission,throne; spear; church,angel; bishop,,,,,,,1100,2,B-E (Yale) 25,"Yale University Library, Beinecke Rare Book & Manuscript Library Ethiopic Collection, Manuscript No. 25",https://collections.library.yale.edu/catalog/33074772?child_oid=33074778,13
44,43,FALSE,,,51,93,51,https://collections.museumofthebible.org/artifacts/5941-taammera-maryam-miracles-of-mary,,https://ethiopic-manuscripts.s3.amazonaws.com/MoB-Wash+DC+(MoB)+/MoB-Wash+DC+(MoB)+277/MoB-Wash+DC+(MoB)+277_040a.jpeg,1,39v,40a,1,1,bottom-right,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",manuscript; book; mitre; handkerchief,Mary; Ildefonsus of Toledo; angel; bishop;,,,,,,,1000,1,MoB-Wash DC (MoB) 277,"Museum of the Bible, [Ethiopic Collection], Manuscript No. 277",https://collections.museumofthebible.org/artifacts/5941-taammera-maryam-miracles-of-mary,13
45,44,FALSE,TRUE,,51,93,1,https://w3id.org/vhmml/readingRoom/view/201668,,https://ethiopic-manuscripts.s3.amazonaws.com/EMML+Mss/EMML+8923/T_EMML_8923_0015a.jpeg,1,13v,15a,1,1,full,"Hildephonsus of Toledo handing over to St Mary the finished book of the Taʾammǝra Māryām, which she blesses and returns to him",manuscript; book; jewelry; handkerchief; sword; heavenly clouds,Mary; Ildefonsus of Toledo; bishop; angel,,,,,,,2000,1,EMML (HMML) 8923,"Ethiopian Manuscript Microfilm Library, HMML Project ID EMML, Manuscript No. 8923",https://w3id.org/vhmml/readingRoom/view/201668,13
46,45,FALSE,,,51,93,5,https://gallica.bnf.fr/ark:/12148/btv1b10093449p,,https://ethiopic-manuscripts.s3.amazonaws.com/BNF/Z-Paris+/Z-Paris+(BNF)+60/Z-Paris+(BNF)+60_014b.jpg,1,7r,14b,1,1,full,Hildephonsus of Toledo composes the book of the Taʾammǝra Māryā,throne; manuscript; book; folio; pen; reed; ink well; ink stand; ink horn; knife; scissors; pen knife,Ildefonsus of Toledo; bishop; scribe; author,,,Däqsəyos,,,,2000,2,Z-Paris (BNF) 60,"Bibliothèque nationale de France, [Ethiopic Collection], Manuscript No. 60",https://gallica.bnf.fr/ark:/12148/btv1b10093449p,13
47,46,FALSE,,,51,93,5,https://gallica.bnf.fr/ark:/12148/btv1b10093449p,,https://ethiopic-manuscripts.s3.amazonaws.com/BNF/Z-Paris+/Z-Paris+(BNF)+60/Z-Paris+(BNF)+60_015a.jpg,2,7v,15a,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne,Mary; Ildefonsus of Toledo; bishop,,,Däqsəyos; Our Lady,,,,2000,3,Z-Paris (BNF) 60,"Bibliothèque nationale de France, [Ethiopic Collection], Manuscript No. 60",https://gallica.bnf.fr/ark:/12148/btv1b10093449p,13
48,47,FALSE,,,51,93,4,https://betamasaheft.eu/manuscripts/EMIP00601/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+601/EMIP601_10a.jpeg,1,4v,10a,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne; jewelry,Mary; Ildefonsus of Toledo; author; bishop,,,,,,,1100,3,EMIP (EMIP) 601,"Ethiopian Manuscript Imaging Project, HMML Project ID EMIP, Manuscript No. 601",https://betamasaheft.eu/manuscripts/EMIP00601/viewer,13
49,48,FALSE,,,51,93,3,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+761/EMIP761_252a.jpg,1,244v,252a,1,1,left,Hildephonsus of Toledo composes the book of the Taʾammǝra Māryā,throne; manuscript; book; folio; pen; reed; ink well; ink stand; ink horn,Ildefonsus of Toledo; bishop; scribe; author,,,Däqsəyos,,,,1100,3,EMIP (EMIP) 761,"Ethiopian Manuscript Imaging Project, HMML Project ID EMIP, Manuscript No. 761",,13
50,49,FALSE,,,51,93,3,https://betamasaheft.eu/manuscripts/ESmhg010/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/ESP+(UH)/ESP+(UH)+MHG-010/ESP+(UH)+MHG-010_023a.jpg,1,22v,23a,1,1,full,Hildephonsus of Toledo composes the book of the Taʾammǝra Māryā,manuscript; book; cushion; folio; pen; reed; ink well; ink stand; ink horn; knife; pen knife,Ildefonsus of Toledo; bishop; scribe; author,,,,,,,1100,1,ESP (UH) MHG-010,"Ethio-SPaRe Project, [Ethiopic Collection], Manuscript No. MHG-010",https://betamasaheft.eu/manuscripts/ESmhg010/viewer,13
51,50,FALSE,TRUE,,51,93,3,https://betamasaheft.eu/manuscripts/ESmhg010/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/ESP+(UH)/ESP+(UH)+MHG-010/ESP+(UH)+MHG-010_023b.jpg,2,23r,23b,1,1,full,St Mary presenting to Hildephonsus of Toledo a throne and garment,throne,Mary,,,,,,,1100,2,ESP (UH) MHG-010,"Ethio-SPaRe Project, [Ethiopic Collection], Manuscript No. MHG-010",https://betamasaheft.eu/manuscripts/ESmhg010/viewer,13
